length,entropy,special_char_ratio,digit_ratio,alpha_ratio,whitespace_count,max_char_run,hex_encoded,keyword_count,keyword_diversity,has_union,boolean_op_count,has_time_keyword,has_exfil_keyword,has_destructive,comment_count,quote_imbalance,comparison_count,semicolon_count,url_encoding_depth,ast_token_count,ast_keyword_count,ast_has_where,ast_has_comparison,ast_has_union
13,3.3927474104487847,0.0,0.3076923076923077,0.6153846153846154,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
45,4.4556488633721045,0.06666666666666667,0.0,0.8,5,2,0,2,2,1,0,0,0,0,1,1,0,0,0,19,3,0,0,1
63,5.0064662812978495,0.12698412698412698,0.12698412698412698,0.5555555555555556,7,1,0,1,1,0,0,0,0,1,0,0,0,0,0,31,3,0,0,0
50,4.660631000600121,0.08,0.0,0.78,7,1,0,1,1,0,0,0,0,0,0,0,1,0,0,20,3,1,1,0
26,3.9500637564362093,0.038461538461538464,0.15384615384615385,0.7692307692307693,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
26,4.026986833359286,0.038461538461538464,0.15384615384615385,0.7692307692307693,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
13,3.3927474104487847,0.0,0.3076923076923077,0.6153846153846154,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
8,2.75,0.375,0.0,0.625,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,4,1,0,0,0
16,3.75,0.0,0.1875,0.6875,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0
120,5.1271429612553465,0.15833333333333333,0.025,0.6916666666666667,11,2,0,3,2,0,1,0,0,0,1,1,0,0,0,77,6,0,0,0
50,4.446370130156179,0.32,0.0,0.54,6,2,0,1,1,0,1,0,0,0,3,1,0,0,0,41,3,0,0,0
11,2.3685225277282065,0.45454545454545453,0.0,0.36363636363636365,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,7,0,0,0,0
47,2.853144449321721,0.2127659574468085,0.723404255319149,0.06382978723404255,0,2,1,0,0,0,0,0,0,0,1,0,0,0,24,31,0,0,0,0
16,3.5,0.0,0.25,0.625,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0
15,3.640223928941851,0.0,0.26666666666666666,0.6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0
26,3.7962176025900565,0.11538461538461539,0.0,0.7307692307692307,3,2,0,2,2,1,0,0,0,0,1,1,0,0,0,12,4,0,0,1
76,5.068338822762739,0.06578947368421052,0.02631578947368421,0.7631578947368421,5,2,0,3,3,1,0,0,0,0,1,1,0,0,0,27,4,0,0,1
48,4.504247855285175,0.0625,0.0,0.7708333333333334,6,1,0,0,0,0,0,0,0,1,0,0,1,0,0,23,3,1,1,0
59,4.750541565980971,0.06779661016949153,0.06779661016949153,0.6779661016949152,9,1,0,0,0,0,0,0,0,1,0,0,2,0,0,31,3,1,1,0
25,3.9434651896016457,0.04,0.12,0.8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
76,5.019189645216557,0.06578947368421052,0.02631578947368421,0.7631578947368421,5,2,0,3,3,1,0,0,0,0,1,1,0,0,0,27,4,0,0,1
29,4.004364184708143,0.06896551724137931,0.41379310344827586,0.3448275862068966,3,2,1,1,1,0,0,0,0,0,1,0,0,0,0,14,1,0,0,0
73,4.878994634610005,0.1232876712328767,0.0821917808219178,0.6575342465753424,7,2,1,2,2,0,1,0,0,0,1,1,0,0,0,42,4,0,0,0
26,4.209867121904035,0.19230769230769232,0.0,0.6923076923076923,3,2,0,2,2,1,0,0,0,0,1,1,0,0,0,10,3,0,0,1
22,3.8796640049025934,0.09090909090909091,0.18181818181818182,0.5,3,2,0,2,2,1,0,0,0,0,1,0,0,0,0,14,2,0,0,1
28,4.008621780036165,0.14285714285714285,0.0,0.75,3,2,0,1,1,0,0,0,0,1,1,1,0,1,0,14,2,0,0,0
60,4.833451062999073,0.13333333333333333,0.13333333333333333,0.5333333333333333,7,1,0,1,1,0,0,0,0,1,0,0,0,0,0,31,3,0,0,0
30,4.389898095464288,0.13333333333333333,0.03333333333333333,0.7333333333333333,3,2,0,1,1,0,0,0,0,1,1,1,0,1,0,13,2,0,0,0
10,2.7219280948873625,0.4,0.2,0.2,2,2,0,0,0,0,1,0,0,0,1,1,1,0,0,10,1,0,1,0
26,3.9500637564362093,0.038461538461538464,0.15384615384615385,0.7692307692307693,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
40,3.273726825238924,0.05,0.025,0.75,4,2,0,2,2,1,0,0,0,0,1,0,0,0,0,16,6,0,0,0
35,4.261725074756385,0.2571428571428571,0.14285714285714285,0.4,5,2,0,1,1,0,0,1,0,0,1,1,1,1,0,9,0,0,0,0
41,4.393898955732062,0.1951219512195122,0.07317073170731707,0.6341463414634146,4,2,0,0,0,0,0,0,0,0,1,1,0,1,0,25,2,0,0,0
22,3.334209459448048,0.18181818181818182,0.13636363636363635,0.3181818181818182,8,2,0,0,0,0,1,0,0,0,1,1,1,0,0,14,2,0,1,0
73,4.545807182601322,0.0136986301369863,0.0,0.7671232876712328,10,1,0,1,1,0,0,0,0,0,0,0,1,0,0,43,4,0,1,0
20,3.5219280948873624,0.3,0.05,0.55,2,2,0,2,2,0,0,1,0,0,1,1,0,1,0,15,1,0,0,0
15,3.4565647621309536,0.0,0.26666666666666666,0.6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0
120,5.138002411155178,0.15833333333333333,0.025,0.6916666666666667,11,2,0,3,2,0,1,0,0,0,1,1,0,0,0,77,6,0,0,0
65,4.742780685585779,0.07692307692307693,0.07692307692307693,0.6615384615384615,11,2,0,1,1,0,1,0,0,0,0,0,2,0,0,36,4,1,1,0
81,5.043631256468684,0.06172839506172839,0.024691358024691357,0.7160493827160493,10,2,0,3,3,1,0,0,0,0,1,1,0,0,0,27,4,0,0,1
25,4.133660689688185,0.32,0.0,0.56,3,2,0,0,0,0,0,0,0,0,3,1,0,1,0,17,1,0,0,0
15,3.139572261986723,0.0,0.26666666666666666,0.6,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0
25,3.863465189601646,0.04,0.12,0.8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
25,3.429275070710713,0.12,0.0,0.72,4,2,0,2,2,1,0,0,0,0,1,1,0,0,0,9,3,0,0,0
15,3.506890595608519,0.3333333333333333,0.06666666666666667,0.4666666666666667,2,2,0,1,1,0,1,1,0,0,1,1,0,0,0,13,1,0,0,0
15,3.3735572622751855,0.0,0.26666666666666666,0.6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0
15,2.973557262275185,0.4666666666666667,0.13333333333333333,0.13333333333333333,4,1,0,0,0,0,1,0,0,0,0,0,1,0,0,5,0,0,0,0
15,3.3232314287976203,0.0,0.26666666666666666,0.6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0
17,3.969815782426811,0.0,0.23529411764705882,0.6470588235294118,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0
70,4.7506616817447105,0.11428571428571428,0.17142857142857143,0.6714285714285714,0,2,1,0,0,0,0,0,0,0,1,0,0,0,6,32,0,0,0,0
65,4.731167031706342,0.07692307692307693,0.07692307692307693,0.6615384615384615,11,2,0,1,1,0,1,0,0,0,0,0,2,0,0,36,4,1,1,0
8,2.1556390622295662,0.125,0.375,0.25,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,9,1,0,1,0
17,3.734521664779752,0.0,0.23529411764705882,0.6470588235294118,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0
13,3.3927474104487847,0.0,0.3076923076923077,0.6153846153846154,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
26,3.9500637564362093,0.038461538461538464,0.15384615384615385,0.7692307692307693,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
53,4.666323048780361,0.22641509433962265,0.03773584905660377,0.6226415094339622,6,2,0,0,0,0,0,0,0,1,3,1,2,1,0,18,0,0,1,0
79,4.639754015184684,0.05063291139240506,0.0379746835443038,0.7215189873417721,12,2,0,1,1,0,1,0,0,0,0,0,2,0,0,36,4,1,1,0
31,4.413716068381602,0.25806451612903225,0.0,0.6451612903225806,2,2,0,2,2,0,0,0,0,0,1,1,0,1,0,7,0,0,0,0
61,4.862519969386981,0.13114754098360656,0.13114754098360656,0.5409836065573771,7,1,0,1,1,0,0,0,0,1,0,0,0,0,0,31,3,0,0,0
7,2.807354922057604,0.14285714285714285,0.0,0.8571428571428571,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0
59,4.784439871065716,0.06779661016949153,0.06779661016949153,0.6779661016949152,9,1,0,0,0,0,0,0,0,1,0,0,2,0,0,31,3,1,1,0
59,4.846011533112176,0.13559322033898305,0.13559322033898305,0.5254237288135594,7,1,0,1,1,0,0,0,0,1,0,0,0,0,0,31,3,0,0,0
49,4.43023841519056,0.02040816326530612,0.08163265306122448,0.673469387755102,9,1,0,1,1,0,0,0,0,0,0,0,1,0,0,30,3,1,1,0
47,4.540727480307355,0.0851063829787234,0.0,0.7659574468085106,7,2,0,1,1,0,0,0,0,0,0,0,1,0,0,20,3,1,1,0
26,3.9500637564362093,0.038461538461538464,0.15384615384615385,0.7692307692307693,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
29,4.021268494903765,0.20689655172413793,0.27586206896551724,0.5172413793103449,0,2,1,0,0,0,0,0,0,0,1,0,0,0,4,23,0,0,0,0
25,3.9434651896016457,0.04,0.12,0.8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
21,3.427333493898265,0.14285714285714285,0.0,0.7142857142857143,3,2,0,2,2,1,0,0,0,0,1,1,0,0,0,9,3,0,0,1
15,3.640223928941851,0.0,0.26666666666666666,0.6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0
27,3.1102070593276654,0.2222222222222222,0.6666666666666666,0.1111111111111111,0,2,1,0,0,0,0,0,0,0,1,0,0,0,12,20,0,0,0,0
35,3.957295873840569,0.2571428571428571,0.22857142857142856,0.42857142857142855,2,6,0,1,1,0,1,1,0,0,1,1,0,0,0,8,0,0,0,0
30,3.6695767463163933,0.23333333333333334,0.0,0.6333333333333333,3,2,0,1,1,1,0,0,0,0,3,1,0,0,0,17,3,0,0,1
48,4.4617094390358725,0.08333333333333333,0.0,0.7708333333333334,7,1,0,1,1,0,0,0,0,0,0,0,1,0,0,20,3,1,1,0
58,4.846411435419691,0.13793103448275862,0.034482758620689655,0.6896551724137931,7,2,0,1,1,0,1,0,0,0,1,1,1,0,0,35,3,0,1,0
13,3.3927474104487847,0.0,0.3076923076923077,0.6153846153846154,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
74,4.748115994177364,0.16216216216216217,0.16216216216216217,0.5945945945945946,4,2,1,0,0,0,0,0,0,0,1,1,0,1,0,10,0,0,0,0
13,3.5465935642949384,0.0,0.3076923076923077,0.6153846153846154,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
42,4.478876280478754,0.21428571428571427,0.023809523809523808,0.6428571428571429,5,2,0,1,1,0,1,0,0,0,1,1,1,0,0,27,4,0,1,0
58,4.846411435419691,0.13793103448275862,0.034482758620689655,0.6896551724137931,7,2,0,1,1,0,1,0,0,0,1,1,1,0,0,35,3,0,1,0
25,3.863465189601646,0.04,0.12,0.8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
65,4.77354991635501,0.07692307692307693,0.07692307692307693,0.6615384615384615,11,2,0,1,1,0,1,0,0,0,0,0,2,0,0,36,4,1,1,0
26,3.9500637564362093,0.038461538461538464,0.15384615384615385,0.7692307692307693,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
8,2.1556390622295662,0.125,0.375,0.25,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,9,1,0,1,0
80,4.678701696057347,0.05,0.05,0.7125,12,1,0,1,1,0,1,0,0,0,0,0,2,0,0,36,4,1,1,0
49,4.389422088659948,0.02040816326530612,0.08163265306122448,0.673469387755102,9,1,0,1,1,0,0,0,0,0,0,0,1,0,0,30,3,1,1,0
43,4.06279520858371,0.27906976744186046,0.023255813953488372,0.5813953488372093,5,3,0,3,2,0,1,1,0,0,1,1,0,0,0,34,3,0,0,0
80,4.678701696057347,0.05,0.05,0.7125,12,2,0,1,1,0,1,0,0,0,0,0,2,0,0,36,4,1,1,0
59,4.750541565980971,0.06779661016949153,0.06779661016949153,0.6779661016949152,9,1,0,0,0,0,0,0,0,1,0,0,2,0,0,31,3,1,1,0
15,3.640223928941851,0.0,0.26666666666666666,0.6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0
11,2.3685225277282065,0.45454545454545453,0.18181818181818182,0.18181818181818182,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,5,0,0,0,0
59,4.799318524600931,0.13559322033898305,0.13559322033898305,0.5254237288135594,7,1,0,1,1,0,0,0,0,1,0,0,0,0,0,31,3,0,0,0
65,4.773549916355011,0.07692307692307693,0.07692307692307693,0.6615384615384615,11,2,0,1,1,0,1,0,0,0,0,0,2,0,0,36,4,1,1,0
28,3.9677201004744997,0.25,0.0,0.5357142857142857,6,2,0,1,1,1,0,0,0,0,3,1,0,0,0,14,2,0,0,1
13,3.3927474104487847,0.0,0.3076923076923077,0.6153846153846154,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
26,3.9500637564362093,0.038461538461538464,0.15384615384615385,0.7692307692307693,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
9,2.725480556997868,0.3333333333333333,0.2222222222222222,0.2222222222222222,2,1,0,0,0,0,1,0,0,0,1,1,1,0,0,10,1,0,1,0
17,3.8521687236032816,0.0,0.23529411764705882,0.6470588235294118,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0
27,4.032303242743954,0.14814814814814814,0.2962962962962963,0.4444444444444444,3,2,1,0,0,0,0,0,0,0,1,1,0,1,0,12,1,0,0,0
55,4.640361758939868,0.2,0.05454545454545454,0.6545454545454545,3,4,1,2,2,0,1,0,0,0,1,1,0,0,0,34,2,0,0,0
59,4.750541565980971,0.06779661016949153,0.06779661016949153,0.6779661016949152,9,2,0,0,0,0,0,0,0,1,0,0,2,0,0,31,3,1,1,0
9,2.058813890331201,0.5555555555555556,0.0,0.2222222222222222,2,2,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0
14,3.521640636343319,0.0,0.21428571428571427,0.6428571428571429,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0
85,5.1610011250970595,0.10588235294117647,0.023529411764705882,0.6823529411764706,10,2,0,2,2,1,0,0,0,0,3,1,0,0,0,32,3,0,0,1
18,3.7254805569978675,0.2777777777777778,0.05555555555555555,0.4444444444444444,4,2,0,1,1,0,1,1,0,0,1,1,0,0,0,13,1,0,0,0
41,3.833076554276184,0.17073170731707318,0.4634146341463415,0.36585365853658536,0,2,1,0,0,0,0,0,0,0,1,0,0,0,15,25,0,0,0,0
15,3.4565647621309536,0.0,0.26666666666666666,0.6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0
65,4.804319147124241,0.07692307692307693,0.07692307692307693,0.6615384615384615,11,2,0,1,1,0,1,0,0,0,0,0,2,0,0,36,4,1,1,0
35,3.585968376059151,0.2,0.0,0.6571428571428571,3,2,0,1,1,1,0,0,0,0,3,1,0,0,0,19,4,0,0,1
25,3.863465189601646,0.04,0.12,0.8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
18,3.239097917988786,0.2222222222222222,0.16666666666666666,0.3888888888888889,4,2,0,0,0,0,1,0,0,0,1,1,1,0,0,14,2,0,1,0
25,3.9434651896016457,0.04,0.12,0.8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
46,4.368792054344756,0.2608695652173913,0.0,0.5869565217391305,6,2,0,2,1,0,1,0,0,0,1,1,0,0,0,36,4,0,0,0
58,4.805919788081815,0.1896551724137931,0.05172413793103448,0.6206896551724138,6,4,0,2,2,0,1,0,0,0,1,1,0,0,0,34,2,0,0,0
59,4.846011533112176,0.13559322033898305,0.13559322033898305,0.5254237288135594,7,1,0,1,1,0,0,0,0,1,0,0,0,0,0,31,3,0,0,0
16,3.5,0.0,0.25,0.625,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0
15,3.3735572622751855,0.0,0.26666666666666666,0.6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0
47,4.50386378816159,0.2127659574468085,0.0,0.6595744680851063,5,3,0,2,2,0,0,0,1,0,1,1,0,1,0,18,0,0,0,0
47,3.7927029940781956,0.0425531914893617,0.19148936170212766,0.6170212765957447,4,2,1,1,1,0,0,0,0,0,1,0,0,0,0,18,6,0,0,0
17,3.8521687236032816,0.0,0.23529411764705882,0.6470588235294118,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0
11,2.913977073182752,0.45454545454545453,0.18181818181818182,0.18181818181818182,2,2,0,0,0,0,1,0,0,0,1,1,1,0,0,11,1,0,1,0
26,4.026986833359286,0.038461538461538464,0.15384615384615385,0.7692307692307693,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
26,3.9500637564362093,0.038461538461538464,0.15384615384615385,0.7692307692307693,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
49,4.620239314458054,0.14285714285714285,0.0,0.7346938775510204,5,2,0,1,1,1,0,0,0,0,3,1,0,0,0,24,2,0,0,1
17,3.969815782426811,0.0,0.23529411764705882,0.6470588235294118,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0
65,4.779094829749481,0.12307692307692308,0.03076923076923077,0.6153846153846154,14,2,0,1,1,0,1,0,0,0,1,1,1,0,0,35,3,0,1,0
15,3.5068905956085183,0.0,0.26666666666666666,0.6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0
26,4.026986833359286,0.038461538461538464,0.15384615384615385,0.7692307692307693,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
15,3.640223928941851,0.0,0.26666666666666666,0.6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0
15,3.5068905956085183,0.0,0.26666666666666666,0.6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0
59,4.750541565980971,0.06779661016949153,0.06779661016949153,0.6779661016949152,9,1,0,0,0,0,0,0,0,1,0,0,2,0,0,31,3,1,1,0
65,4.817405983529066,0.12307692307692308,0.03076923076923077,0.6153846153846154,14,2,0,1,1,0,1,0,0,0,1,1,1,0,0,35,3,0,1,0
22,3.538310595615006,0.13636363636363635,0.045454545454545456,0.6818181818181818,3,2,0,2,2,1,0,0,0,0,1,1,0,0,0,10,3,0,0,1
9,2.725480556997868,0.3333333333333333,0.2222222222222222,0.2222222222222222,2,1,0,0,0,0,1,0,0,0,1,1,1,0,0,10,1,0,1,0
61,4.817357879187581,0.13114754098360656,0.13114754098360656,0.5409836065573771,7,1,0,1,1,0,0,0,0,1,0,0,0,0,0,31,3,0,0,0
11,2.913977073182752,0.45454545454545453,0.18181818181818182,0.18181818181818182,2,2,0,0,0,0,1,0,0,0,1,1,1,0,0,11,1,0,1,0
21,3.7849418274376423,0.14285714285714285,0.0,0.7142857142857143,3,2,0,2,2,1,0,0,0,0,1,1,0,0,0,9,3,0,0,1
11,2.004886164091843,0.45454545454545453,0.0,0.18181818181818182,4,2,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0
21,3.8442328987631913,0.14285714285714285,0.047619047619047616,0.6666666666666666,3,2,0,0,0,0,0,0,0,1,1,0,0,1,0,12,2,0,0,0
12,2.5849625007211565,0.3333333333333333,0.16666666666666666,0.16666666666666666,4,2,0,0,0,0,1,0,0,0,1,1,1,0,0,12,1,0,1,0
54,4.394073734471543,0.12962962962962962,0.0,0.6666666666666666,10,2,0,1,1,1,0,0,0,0,3,1,0,0,0,29,2,0,0,1
63,5.0064662812978495,0.12698412698412698,0.12698412698412698,0.5555555555555556,7,1,0,1,1,0,0,0,0,1,0,0,0,0,0,31,3,0,0,0
15,3.640223928941851,0.0,0.26666666666666666,0.6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0
26,4.132944044980959,0.19230769230769232,0.15384615384615385,0.46153846153846156,3,2,0,1,1,0,0,1,0,0,1,0,0,1,0,13,0,0,0,0
49,4.389422088659948,0.02040816326530612,0.08163265306122448,0.673469387755102,9,2,0,1,1,0,0,0,0,0,0,0,1,0,0,30,3,1,1,0
48,3.544794776014125,0.125,0.1875,0.625,0,2,1,0,0,0,0,0,0,0,1,0,0,0,4,31,3,0,0,0
26,4.103909910282363,0.19230769230769232,0.0,0.6923076923076923,3,2,0,2,2,1,0,0,0,0,1,1,0,0,0,10,3,0,0,1
58,4.728947487276467,0.05172413793103448,0.0,0.8103448275862069,5,2,0,3,3,1,0,0,0,0,1,1,0,0,0,16,4,0,0,1
25,2.7574058114255178,0.28,0.6,0.12,0,1,1,0,0,0,0,0,0,0,0,0,0,0,7,24,0,0,0,0
13,2.7773627950641697,0.5384615384615384,0.0,0.3076923076923077,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,7,0,0,0,0
66,4.864480437829255,0.18181818181818182,0.0,0.7272727272727273,4,2,0,1,1,0,0,0,0,1,1,1,0,1,0,10,0,0,0,0
65,4.77354991635501,0.07692307692307693,0.07692307692307693,0.6615384615384615,11,2,0,1,1,0,1,0,0,0,0,0,2,0,0,36,4,1,1,0
16,3.625,0.3125,0.0625,0.5,2,2,0,1,1,0,1,1,0,0,1,1,0,0,0,13,1,0,0,0
47,4.269346895154941,0.2127659574468085,0.3191489361702128,0.44680851063829785,0,2,1,0,0,0,0,0,0,0,1,0,0,0,8,32,0,0,0,0
47,4.277161191734919,0.02127659574468085,0.0425531914893617,0.7021276595744681,9,2,0,1,1,0,0,0,0,0,0,0,1,0,0,30,3,1,1,0
8,2.75,0.375,0.0,0.625,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,4,1,0,0,0
65,4.773549916355011,0.07692307692307693,0.07692307692307693,0.6615384615384615,11,2,0,1,1,0,1,0,0,0,0,0,2,0,0,36,4,1,1,0
77,4.972103625477876,0.16883116883116883,0.07792207792207792,0.6233766233766234,7,2,1,1,1,0,1,0,0,0,3,1,0,0,0,47,3,0,0,0
15,3.4565647621309536,0.0,0.26666666666666666,0.6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0
44,4.58376514106955,0.20454545454545456,0.0,0.6818181818181818,3,2,0,2,2,1,0,0,0,0,1,1,0,0,0,29,2,0,0,1
29,3.9952378913808873,0.1724137931034483,0.0,0.6206896551724138,6,2,0,2,2,1,0,0,0,0,1,1,0,0,0,10,3,0,0,1
39,2.73646157156377,0.1794871794871795,0.7435897435897436,0.07692307692307693,0,1,1,0,0,0,0,0,0,0,0,0,0,0,21,25,0,0,0,0
16,3.5,0.0,0.25,0.625,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0
49,4.389422088659948,0.02040816326530612,0.08163265306122448,0.673469387755102,9,1,0,1,1,0,0,0,0,0,0,0,1,0,0,30,3,1,1,0
31,4.3893648586343925,0.16129032258064516,0.0,0.7419354838709677,3,2,0,1,1,0,0,0,0,1,1,1,0,1,0,15,2,0,0,0
15,3.640223928941851,0.0,0.26666666666666666,0.6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0
59,4.716643260896225,0.06779661016949153,0.06779661016949153,0.6779661016949152,9,1,0,0,0,0,0,0,0,1,0,0,2,0,0,31,3,1,1,0
29,4.375222374437918,0.20689655172413793,0.0,0.6551724137931034,4,2,0,1,1,0,0,0,0,0,1,1,0,1,0,17,2,0,0,0
80,4.678701696057347,0.05,0.05,0.7125,12,1,0,1,1,0,1,0,0,0,0,0,2,0,0,36,4,1,1,0
22,3.8796640049025934,0.09090909090909091,0.18181818181818182,0.5,3,2,0,2,2,1,0,0,0,0,1,0,0,0,0,14,2,0,0,1
11,2.3685225277282065,0.45454545454545453,0.0,0.36363636363636365,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,7,0,0,0,0
26,4.026986833359286,0.038461538461538464,0.15384615384615385,0.7692307692307693,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
16,3.5,0.0,0.25,0.625,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0
59,4.750541565980971,0.06779661016949153,0.06779661016949153,0.6779661016949152,9,1,0,0,0,0,0,0,0,1,0,0,2,0,0,31,3,1,1,0
17,3.969815782426811,0.0,0.23529411764705882,0.6470588235294118,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0
35,3.990017217489902,0.2,0.0,0.6571428571428571,3,2,0,1,1,1,0,0,0,0,3,1,0,0,0,19,4,0,0,1
